タイトル,話数,CMカット,ロゴ消し,コーデック,容量(GB)
Aチャンネル,12話+2話,○,○,HEVC,2.67
BRAVE HEARTS 海猿,実写映画,○,○,HEVC,6.32
Charlotte,13話,○,○,AVC,5.35
Charlotte,13話,○,○,HEVC,3.47
Fate Project 大晦日TVスペシャル ～First ＆ Next Order～,単発アニメ,○,○,HEVC,0.97
Fate/Apocrypha,25話,○,○,HEVC,6.09
GATE 自衛隊 彼の地にて、斯く戦えり,24話,○,○,HEVC,5.37
Just Because!,12話,○,○,HEVC,1.75
NEW GAME!,12話,○,○,HEVC,2.73
NEW GAME!!,12話,○,○,HEVC,2.74
Re:CREATORS,22話,○,○,HEVC,5.7
ReLife,13話,○,○,HEVC,1.67
Rewrite,24話,○,○,HEVC,4.41
SHIROBAKO,24話,○,,AVC,21.1
SHIROBAKO,24話,○,○,HEVC,4.94
SP 革命篇,実写映画,○,○,HEVC,7
SP 野望篇,実写映画,○,○,HEVC,5.39
Steins;Gate,26話,○,○,HEVC,5.28
STEINS;GATE 聡明叡智のコグニティブ・コンピューティング,4話,○,○,HEVC,0.9
THE IDOLM＠STER MOVIE 輝きの向こう側へ！,アニメ映画,,,AVC,6.43
WORKING!!!,13話,○,○,AVC,7.83
WORKING!!!,13話+α,○,○,HEVC,3.3
WORKING!!!「ロード・オブ・ザ・小鳥遊」 ,単発アニメ,○,○,HEVC,0.25
WWW.WORKING!!,13話,○,○,HEVC,2.17
アイアンマン（吹替版）,実写映画,○,○,HEVC,5.37
アイドルマスター SideM,14話,○,○,HEVC,4
アイドルマスター シンデレラガールズ,25話,○,○,AVC,15.2
アイドルマスター シンデレラガールズ,25話,○,○,HEVC,4.52
あいまいみー ~Surgical Friends~,12話,○,○,HEVC,0.39
アニメロサマーライブ 2017,アニメライブ,○,○,HEVC,19.6
アニメロサマーライブ2015 Vol.1,アニメライブ,○,○,AVC,23.46
アニメロサマーライブ2016 Vol.1,アニメライブ,○,○,HEVC,19.2
アホガール,12話,○,○,HEVC,2.7
アポロ13（吹替版）,実写映画,○,○,HEVC,2.17
アリスと蔵六,12話,○,○,HEVC,2.66
あんハピ♪,12話,○,○,HEVC,1.79
インターステラー（字幕版）,実写映画,○,○,HEVC,8.79
エロマンガ先生,12話,○,○,HEVC,2.2
オデッセイ（字幕版）,実写映画,○,○,HEVC,7.73
オデッセイ（吹替版）,実写映画,○,○,HEVC,7.73
ガールズ＆パンツァー,12話,○,○,AVC,6.86
ガールズ＆パンツァー,12話,○,○,HEVC,4.73
ガールズ＆パンツァー 劇場版,アニメ映画,○,○,HEVC,2.49
ガヴリールドロップアウト,12話,○,○,HEVC,2.49
からかい上手の高木さん,12話,○,○,HEVC,3.48
キルミーベイベー,13話,○,○,HEVC,2.7
きんいろモザイク,12話,○,○,AVC,4.44
きんいろモザイク,12話,○,○,HEVC,1.77
クロムクロ,26話,○,○,HEVC,4.62
けいおん！,アニメ映画,○,○,AVC,3.26
けいおん！,14話,○,○,HEVC,2.96
けいおん！！,27話,○,○,HEVC,6.2
ゲーマーズ！,12話,○,○,HEVC,2.46
けものフレンズ,12話,○,○,HEVC,3.19
コードギアス 反逆のルルーシュ,25話,○,○,HEVC,7.04
コードギアス 反逆のルルーシュ R2,25話,,,AVC,23.1
コードギアス 反逆のルルーシュ R2,25話,○,○,HEVC,9.71
コードギアス 亡国のアキト,5部作,○,○,HEVC,4.52
この素晴らしい世界に祝福を！２,10話,○,○,HEVC,2.27
ご注文はうさぎですか？,12話,○,○,HEVC,2.93
ご注文はうさぎですか？,12話,,,AVC,10.5
ご注文はうさぎですか？？,12話,○,○,HEVC,2.51
さくら荘のペットな彼女,24話,○,○,HEVC,4.62
サマーウォーズ,アニメ映画,○,○,AVC,3.98
サマーウォーズ,アニメ映画,○,○,HEVC,1.94
シン・ゴジラ,実写映画,○,○,HEVC,6.6
ステラのまほう,12話,○,○,HEVC,2.14
ストライクウィッチーズ,12話,○,○,HEVC,1.5
ストライクウィッチーズ2,12話,○,○,HEVC,4.5
スロウスタート,12話,○,○,HEVC,2.85
セイレン,12話,○,○,HEVC,1.61
だがしかし2,12話,○,○,HEVC,2.37
たくのみ。,12話,○,○,HEVC,1.72
たまこまーけっと,12話,,,AVC,16.1
たまこまーけっと,12話,○,○,HEVC,3.2
たまこラブストーリー,アニメ映画,,,AVC,4.01
たまこラブストーリー,アニメ映画,○,○,HEVC,0.78
とある科学の超電磁砲,24話,○,○,HEVC,5.25
ナイツ&マジック,13話,○,○,HEVC,4.58
ニード・フォー・スピード（吹替版）,実写映画,○,○,AVC,5.25
ニセコイ：,12話,○,○,AVC,5.89
ニセコイ：,12話,○,○,HEVC,4.05
ネトゲの嫁は女の子じゃないと思った？,12話,○,○,HEVC,2.26
のだめカンタービレ 最終楽章 後編,実写映画,○,○,AVC,5.85
のだめカンタービレ 最終楽章 前編,実写映画,○,○,AVC,5.93
ノラと皇女と野良猫ハート,12話,○,○,HEVC,0.87
ハイスクール・フリート,12話,○,○,HEVC,2.76
バトルシップ（吹替版）,実写映画,,,AVC,3.86
ハロー！きんいろモザイク,12話,○,○,AVC,6.84
ハロー！きんいろモザイク,12話,○,○,HEVC,2.95
ハンドシェイカー,12話,○,○,HEVC,8.72
ひなこのーと,12話,○,○,HEVC,3.36
プラスティック・メモリーズ,13話,○,○,AVC,9.98
プラスティック・メモリーズ,13話,○,○,HEVC,3.01
フレームアームズ・ガール,12話,○,○,HEVC,4.26
ブレンド・S,12話,○,○,HEVC,2.94
ポプテピピック,12話,○,○,HEVC,8.08
マクロスΔ,26話,○,○,HEVC,6.75
魔法使いの嫁,24話,○,○,HEVC,5.16
ゆゆ式,12話,○,○,HEVC,1.97
ゆるキャン,12話,○,○,HEVC,2.39
らき☆すた,24話+1話,○,,HEVC,6.55
ラブライブ！ 2期,13話,○,○,HEVC,4.72
ラブライブ！ School idol project,13話,○,○,HEVC,4.19
ラブライブ！ School idol project,13話,○,○,AVC,6.15
ラブライブ！2期,13話,○,○,AVC,6.78
ラブライブ！The School Idol Movie,アニメ映画,○,○,HEVC,1.78
りゅうおうのおしごと！,12話,○,○,HEVC,2.62
ルパン三世 VS 名探偵コナン THE MOVIE,アニメ映画,○,○,HEVC,1.18
るろうに剣心,実写映画,○,○,AVC,5.26
るろうに剣心 京都大火編,実写映画,○,○,AVC,6.16
るろうに剣心 伝説の最期編,実写映画,○,○,AVC,6.28
亜人ちゃんは語りたい,12話,○,○,HEVC,2.13
異世界はスマートフォンとともに。,12話,○,○,HEVC,2.42
宇宙よりも遠い場所,13話,○,○,HEVC,3.34
宇宙戦艦ヤマト2199,7章,,,AVC,6.3
映画 けいおん！,アニメ映画,○,○,HEVC,1.53
